"Time","120002D","",""
"and","140.00","",""
"Date","Discharge (Cumecs)","",""
"Date and time","Point","Quality","Comments"
01:00:00 09/06/2024,      17.324,    130, 
02:00:00 09/06/2024,      17.212,    130, 
03:00:00 09/06/2024,      17.044,    130, 
04:00:00 09/06/2024,      16.989,    130, 
05:00:00 09/06/2024,      17.212,    130, 
06:00:00 09/06/2024,      17.212,    130, 
07:00:00 09/06/2024,      16.934,    130, 
08:00:00 09/06/2024,      17.100,    130, 
09:00:00 09/06/2024,      16.934,    130, 
10:00:00 09/06/2024,      17.100,    130, 
11:00:00 09/06/2024,      17.044,    130, 
12:00:00 09/06/2024,      16.879,    130, 
13:00:00 09/06/2024,      16.989,    130, 
14:00:00 09/06/2024,      16.989,    130, 
15:00:00 09/06/2024,      16.989,    130, 
16:00:00 09/06/2024,      16.989,    130, 
17:00:00 09/06/2024,      16.660,    130, 
18:00:00 09/06/2024,      16.824,    130, 
19:00:00 09/06/2024,      16.714,    130, 
20:00:00 09/06/2024,      16.605,    130, 
21:00:00 09/06/2024,      16.660,    130, 
22:00:00 09/06/2024,      16.660,    130, 
23:00:00 09/06/2024,      16.714,    130, 
00:00:00 10/06/2024,      16.497,    130, 
01:00:00 10/06/2024,      16.769,    130, 
02:00:00 10/06/2024,      16.660,    130, 
03:00:00 10/06/2024,      16.605,    130, 
04:00:00 10/06/2024,      16.714,    130, 
05:00:00 10/06/2024,      16.660,    130, 
