"region","basin","sub_basin","year","total_surveyed_area","vegetation","area","veg_percent_of_total_area","y_on_y_veg_area_change","y_on_y_veg_percent_change","standardised_score"
"Wet Tropics","Barron","Barron","remnant_2007",20.46932,"Other Vegetation",192.9,9.42208,-0.8,-0.42,45
"Wet Tropics","Barron","Barron","remnant_2009",20.46932,"Other Vegetation",192.8,9.42054,0,-0.02,77
"Wet Tropics","Barron","Barron","remnant_2011",20.46932,"Other Vegetation",191.9,9.37456,-0.9,-0.49,41
"Wet Tropics","Barron","Barron","remnant_2013",20.46932,"Other Vegetation",187.3,9.15167,-4.6,-2.38,25
"Wet Tropics","Barron","Barron","remnant_2015",20.46932,"Other Vegetation",187.3,9.15167,0,0,80
"Wet Tropics","Barron","Barron","remnant_2017",20.46932,"Other Vegetation",187.3,9.15167,0,0,80
"Wet Tropics","Barron","Barron","remnant_2019",20.46932,"Other Vegetation",187.3,9.15167,0,0,80
"Wet Tropics","Barron","Barron","remnant_2021",20.46932,"Other Vegetation",187.2,9.14746,-0.1,-0.05,71
"Wet Tropics","Barron","Barron","pre_clear",20.46932,"Saltmarshes",40.3,1.97117,0,0,80
"Wet Tropics","Barron","Barron","remnant_1997",20.46932,"Saltmarshes",20.8,1.01489,-19.6,-48.51,11
"Wet Tropics","Barron","Barron","remnant_1999",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2000",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2001",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2003",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2005",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2006",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2006b",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2007",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2009",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2011",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2013",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2015",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2017",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2019",20.46932,"Saltmarshes",20.8,1.01489,0,0,80
"Wet Tropics","Barron","Barron","remnant_2021",20.46932,"Saltmarshes",20.8,1.01489,0,0,81
"Wet Tropics","Barron","Barron","pre_clear",20.46932,"Water",284.5,13.89748,0,0,80
"Wet Tropics","Barron","Barron","remnant_1997",20.46932,"Water",216.3,10.56728,-68.2,-23.96,16
"Wet Tropics","Barron","Barron","remnant_1999",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2000",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2001",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2003",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2005",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2006",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2006b",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2007",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2009",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2011",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2013",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2015",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2017",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2019",20.46932,"Water",216.3,10.56728,0,0,80
"Wet Tropics","Barron","Barron","remnant_2021",20.46932,"Water",227.5,11.11255,11.2,5.16,81
"Dry Tropics","Black","Black","pre_clear",37.27453,"Mangroves",905.2,24.28438,0,0,80
"Dry Tropics","Black","Black","remnant_1997",37.27453,"Mangroves",894,23.98292,-11.2,-1.24,35
"Dry Tropics","Black","Black","remnant_1999",37.27453,"Mangroves",894,23.98292,0,0,80
"Dry Tropics","Black","Black","remnant_2000",37.27453,"Mangroves",894,23.98292,0,0,80
"Dry Tropics","Black","Black","remnant_2001",37.27453,"Mangroves",894,23.98292,0,0,80
"Dry Tropics","Black","Black","remnant_2003",37.27453,"Mangroves",894,23.98292,0,0,80
"Dry Tropics","Black","Black","remnant_2005",37.27453,"Mangroves",893.2,23.96314,-0.7,-0.08,64
"Dry Tropics","Black","Black","remnant_2006",37.27453,"Mangroves",893.2,23.96379,0,0,81
"Dry Tropics","Black","Black","remnant_2006b",37.27453,"Mangroves",893.2,23.96379,0,0,80
"Dry Tropics","Black","Black","remnant_2007",37.27453,"Mangroves",890.6,23.89324,-2.6,-0.29,51
"Dry Tropics","Black","Black","remnant_2009",37.27453,"Mangroves",890.6,23.89324,0,0,80
"Dry Tropics","Black","Black","remnant_2011",37.27453,"Mangroves",890.6,23.89324,0,0,80
"Dry Tropics","Black","Black","remnant_2013",37.27453,"Mangroves",890.6,23.89324,0,0,80
"Dry Tropics","Black","Black","remnant_2015",37.27453,"Mangroves",890.9,23.9,0.3,0.03,81
"Dry Tropics","Black","Black","remnant_2017",37.27453,"Mangroves",890.9,23.90184,0.1,0.01,81
"Dry Tropics","Black","Black","remnant_2019",37.27453,"Mangroves",890.9,23.90184,0,0,80
"Dry Tropics","Black","Black","remnant_2021",37.27453,"Mangroves",900.4,24.15481,9.4,1.06,81
"Dry Tropics","Black","Black","pre_clear",37.27453,"Mangroves and Saltmarshes Combined",1220.3,32.73908,0,0,80
"Dry Tropics","Black","Black","remnant_1997",37.27453,"Mangroves and Saltmarshes Combined",1196,32.087,-24.3,-1.99,29
"Dry Tropics","Black","Black","remnant_1999",37.27453,"Mangroves and Saltmarshes Combined",1196,32.087,0,0,80
"Dry Tropics","Black","Black","remnant_2000",37.27453,"Mangroves and Saltmarshes Combined",1195.9,32.08423,-0.1,-0.01,79
"Dry Tropics","Black","Black","remnant_2001",37.27453,"Mangroves and Saltmarshes Combined",1195.9,32.08423,0,0,80
"Dry Tropics","Black","Black","remnant_2003",37.27453,"Mangroves and Saltmarshes Combined",1195.6,32.07442,-0.4,-0.03,74
