Region,BasinOrZone,SubBasinOrSubZone,FinalScore,BarrierClassification,geom
Dry Tropics,Black,Crystal Creek,175.86639911638838,2,"c(424624.336985972, 7902571.23339956)"
Dry Tropics,Black,Crystal Creek,123.89994425437543,3,"c(420505.077854951, 7900967.91993685)"
Dry Tropics,Black,Crystal Creek,121.65373742662867,3,"c(421185.652405126, 7900946.41040402)"
Dry Tropics,Black,Crystal Creek,120.83624653232097,3,"c(422461.230399212, 7901132.72890603)"
Dry Tropics,Black,Crystal Creek,42.469602743340324,3,"c(424824.975232764, 7900425.37804743)"
Dry Tropics,Black,Crystal Creek,115.59842740399235,3,"c(423712.142687612, 7904138.68250096)"
Dry Tropics,Black,Crystal Creek,93.77328495607716,4.3,"c(422248.63784306, 7903538.40430741)"
Dry Tropics,Black,Crystal Creek,124.26161325944156,3,"c(424806.136068448, 7900276.49609575)"
Dry Tropics,Black,Crystal Creek,137.2378188504576,3,"c(416926.70365256, 7900748.1774154)"
Dry Tropics,Black,Crystal Creek,110,3,"c(422823.308906102, 7897299.30800621)"
Dry Tropics,Black,Crystal Creek,135.20749667828142,4.3,"c(419630.352668651, 7900822.97098432)"
Dry Tropics,Black,Crystal Creek,17.58810582518166,3,"c(415341.978544312, 7904035.11207619)"
Dry Tropics,Black,Crystal Creek,17.434106516744283,3,"c(415336.830569786, 7904097.78909172)"
Dry Tropics,Black,Crystal Creek,123.10162351622829,3,"c(418224.954919001, 7901890.73795979)"
Dry Tropics,Black,Crystal Creek,33.25017881209476,3,"c(418699.037423236, 7901759.24350351)"
Dry Tropics,Black,Crystal Creek,41.19582655955364,3,"c(415280.950613227, 7903143.93080303)"
Dry Tropics,Black,Crystal Creek,113.7037433815921,3,"c(419144.614606108, 7901633.19767832)"
Dry Tropics,Black,Crystal Creek,30.051729776063464,3,"c(419002.43653358, 7901607.81148025)"
Dry Tropics,Black,Crystal Creek,121.0829464674916,3,"c(415826.423796346, 7902548.26376364)"
Dry Tropics,Black,Crystal Creek,22.277389394608846,3,"c(422575.814720407, 7901345.86224163)"
Dry Tropics,Black,Crystal Creek,108.96340734856463,3,"c(425271.723479514, 7902548.80771232)"
Dry Tropics,Black,Crystal Creek,118.64712460445654,4.3,"c(422707.703413481, 7897291.96030567)"
Dry Tropics,Black,Crystal Creek,115.41981574059434,4.3,"c(425003.333884732, 7904318.1965915)"
Dry Tropics,Black,Crystal Creek,119.00067464147922,3,"c(420864.992848865, 7904043.37796976)"
Dry Tropics,Black,Crystal Creek,22.399185665500617,3,"c(422568.729397859, 7901210.96811896)"
Dry Tropics,Black,Crystal Creek,117.43410651674428,3,"c(415364.890959129, 7904160.20050905)"
Dry Tropics,Black,Crystal Creek,185,2,"c(426891.731823422, 7903550.88820562)"
Dry Tropics,Black,Crystal Creek,110,3,"c(425776.127284114, 7900872.31297006)"
Dry Tropics,Black,Crystal Creek,10,2,"c(426659.786644357, 7901406.23944776)"
Dry Tropics,Black,Crystal Creek,100,2,"c(428398.605820653, 7902464.82253294)"
Dry Tropics,Black,Crystal Creek,110,2,"c(427362.205587287, 7900671.50805426)"
Dry Tropics,Black,Crystal Creek,158.96975521979934,2,"c(431024.130583488, 7900060.13481731)"
Dry Tropics,Black,Crystal Creek,126.89107686803244,2,"c(431435.867789675, 7899673.51072892)"
Dry Tropics,Black,Crystal Creek,222.69179190977,,"c(429853.93773646, 7901152.97038261)"
Dry Tropics,Black,Crystal Creek,222.69179190977,2,"c(429853.93773646, 7901152.97038261)"
Dry Tropics,Black,Crystal Creek,200,2,"c(429712.656835834, 7901284.9169968)"
Dry Tropics,Black,Crystal Creek,104.90371217045214,3,"c(432890.871125681, 7899374.17618029)"
Dry Tropics,Black,Crystal Creek,114.90371217045214,3,"c(432324.086197418, 7899077.73561647)"
Dry Tropics,Black,Crystal Creek,211,2,"c(427326.213351502, 7898315.80414569)"
Dry Tropics,Black,Crystal Creek,126.72259255076074,2,"c(431110.726467193, 7898697.42889086)"
Dry Tropics,Black,Crystal Creek,131.3756037852906,3,"c(429548.172126629, 7898750.36504228)"
Dry Tropics,Black,Crystal Creek,114.36794404643348,3,"c(427454.034178973, 7897644.4337639)"
Dry Tropics,Black,Crystal Creek,227.7980967252222,4.3,"c(435037.291986682, 7895126.2159287)"
Dry Tropics,Black,Crystal Creek,240.18529791019168,4.3,"c(433493.903130419, 7897032.83310286)"
Dry Tropics,Black,Crystal Creek,118.04688073232987,3,"c(432372.293946275, 7895160.12500948)"
Dry Tropics,Black,Crystal Creek,211,3,"c(431325.523909403, 7896226.76287713)"
Dry Tropics,Black,Crystal Creek,37.71164989455127,3,"c(432530.337289443, 7896720.68396901)"
Dry Tropics,Black,Crystal Creek,110.904920033233,3,"c(431791.208145179, 7896200.68018785)"
Dry Tropics,Black,Crystal Creek,23.359328192956465,4,"c(432146.051519648, 7896363.62378998)"
Dry Tropics,Black,Crystal Creek,110,4.2,"c(432947.480341292, 7895601.48746534)"
Dry Tropics,Black,Rollingstone Creek,113.38112441452652,3,"c(435256.664326631, 7890960.44575457)"
Dry Tropics,Black,Rollingstone Creek,111.07801356949594,3,"c(433318.667422777, 7892309.0365918)"
Dry Tropics,Black,Rollingstone Creek,216.8265431435986,4,"c(436118.306504734, 7894849.44297899)"
Dry Tropics,Black,Rollingstone Creek,110,3,"c(434862.803877902, 7893101.29688166)"
Dry Tropics,Black,Rollingstone Creek,35.71750804923553,3,"c(435992.50588679, 7893275.32704004)"
Dry Tropics,Black,Rollingstone Creek,166.78570538757668,4.2,"c(431977.726966577, 7890124.32087918)"
Dry Tropics,Black,Rollingstone Creek,184.86936537377971,4,"c(434826.736274802, 7892600.41576035)"
Dry Tropics,Black,Rollingstone Creek,39.379200555835745,3,"c(434604.145884774, 7891862.92658707)"
Dry Tropics,Black,Rollingstone Creek,98.07307888767448,3,"c(435636.770171776, 7891718.13113675)"
Dry Tropics,Black,Rollingstone Creek,115.9004708312347,3,"c(433787.288194645, 7891146.4442471)"
Dry Tropics,Black,Rollingstone Creek,41.93330656563826,4.3,"c(439067.368694359, 7891694.64620506)"
Dry Tropics,Black,Rollingstone Creek,151.22338478111578,1,"c(437999.083480267, 7892372.84065294)"
Dry Tropics,Black,Rollingstone Creek,195,1,"c(438783.575798904, 7893058.53713446)"
Dry Tropics,Black,Rollingstone Creek,210,2,"c(437543.042056124, 7892070.50479011)"
Dry Tropics,Black,Rollingstone Creek,260.4869904295096,3,"c(439527.031755116, 7892844.45912896)"
Dry Tropics,Black,Rollingstone Creek,10,3,"c(438701.828374601, 7891386.49786171)"
Dry Tropics,Black,Rollingstone Creek,158.7808440967768,3,"c(439547.005962365, 7892333.62566414)"
Dry Tropics,Black,Rollingstone Creek,110,4.3,"c(438659.34199462, 7891355.26301303)"
Dry Tropics,Black,Rollingstone Creek,110,4.3,"c(441358.002871943, 7890036.94708364)"
Dry Tropics,Black,Rollingstone Creek,21.360025820512092,1,"c(440524.404730714, 7890664.64747473)"
Dry Tropics,Black,Rollingstone Creek,210,3,"c(440964.955516328, 7888477.43587189)"
Dry Tropics,Black,Rollingstone Creek,10.927070467048448,2,"c(440463.755361587, 7890325.27971577)"
Dry Tropics,Black,Rollingstone Creek,239.2086877839879,3,"c(441717.105635872, 7890688.00790962)"
Dry Tropics,Black,Rollingstone Creek,42.08830825576167,1,"c(441014.369577471, 7891124.62203796)"
