Code,Date,FY,Indicator,Units,Values,Supplier,Geographic_Area,Region,Environment,Zone,Sub_Zone,Sample_Type,Water_Type,Management,Lat,Long,Inside_Port_Zone,WQO,LOR,Failure,Stat
BUR1,2016-02-07,2016,TSS,mg.L,2.75,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2016-03-08,2016,Chla,ug.L,0.67655,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2016-03-08,2016,TSS,mg.L,1.525,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2016-04-08,2016,Chla,ug.L,0.435,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2016-04-08,2016,FRP,mg.L,0.00399513,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2016-04-08,2016,NOX,mg.L,0.0020006280000000004,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2016-04-08,2016,TSS,mg.L,2.75,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2016-05-09,2016,Chla,ug.L,0.5875,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2016-05-09,2016,TSS,mg.L,0.255,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2016-06-22,2016,Chla,ug.L,0.5592,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2016-06-22,2016,FRP,mg.L,9.755549999999999e-4,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2016-06-22,2016,NOX,mg.L,2.802e-4,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2016-06-22,2016,PN,mg.L,0.038684412,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2016-06-22,2016,PP,mg.L,0.003007187,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2016-06-22,2016,Secchi,m,6,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,10,0.01,low,mean
BUR1,2016-06-22,2016,TSS,mg.L,0.4575,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2016-09-19,2017,Chla,ug.L,0.30905,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2016-09-19,2017,TSS,mg.L,0.235,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2016-12-01,2017,Chla,ug.L,0.44,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2016-12-01,2017,FRP,mg.L,0.005419749999999999,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2016-12-01,2017,NOX,mg.L,0.0019614000000000003,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2016-12-01,2017,PP,mg.L,4.6455e-4,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2016-12-01,2017,Secchi,m,6,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,10,0.01,low,mean
BUR1,2016-12-01,2017,TSS,mg.L,3.2,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2016-12-31,2017,Chla,ug.L,0.375,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2016-12-31,2017,FRP,mg.L,0.007045675,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2016-12-31,2017,NOX,mg.L,0.0085461,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2016-12-31,2017,PP,mg.L,2.32275e-4,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2016-12-31,2017,Secchi,m,7.5,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,10,0.01,low,mean
BUR1,2016-12-31,2017,TSS,mg.L,12.675,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2017-01-19,2017,Chla,ug.L,0.32005,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2017-01-19,2017,TSS,mg.L,1.01375,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2017-02-13,2017,Chla,ug.L,0.265,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
