Region,Basin,SubBasin,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
Wet Tropics,Murray,Murray,Urban/Intensive,2009,1537.4,31.7,2.1,-4.8,-13,2009 to 1999
Wet Tropics,Murray,Murray,Urban/Intensive,2015,1538,26.5,1.7,-5.3,-16.6,2015 to 2009
Wet Tropics,Murray,Murray,Urban/Intensive,2021,1524.4,18.2,1.2,-8.2,-31.1,2021 to 2015
Wet Tropics,Russell,Russell,Urban/Intensive,1999,718.7,17.5,2.4,0,0,1999 to 1999
Wet Tropics,Russell,Russell,Urban/Intensive,2009,695.9,20.7,3,3.2,18.4,2009 to 1999
Wet Tropics,Russell,Russell,Urban/Intensive,2015,696.3,21.8,3.1,1.1,5.1,2015 to 2009
Wet Tropics,Russell,Russell,Urban/Intensive,2021,670.6,10.1,1.5,-11.7,-53.6,2021 to 2015
Wet Tropics,Tully,Tully,Urban/Intensive,1999,1718.8,71.1,4.1,0,0,1999 to 1999
Wet Tropics,Tully,Tully,Urban/Intensive,2009,1712.6,83.7,4.9,12.7,17.8,2009 to 1999
Wet Tropics,Tully,Tully,Urban/Intensive,2015,1713.5,80.7,4.7,-3,-3.6,2015 to 2009
Wet Tropics,Tully,Tully,Urban/Intensive,2021,1684.7,25.3,1.5,-55.5,-68.7,2021 to 2015
Burdekin,Burdekin,Belyando,Water,1999,36777.9,485.9,1.3,0,0,1999 to 1999
Burdekin,Burdekin,Belyando,Water,2009,37000.2,496,1.3,10,2.1,2009 to 1999
Burdekin,Burdekin,Belyando,Water,2016,36069.3,500,1.4,4,0.8,2016 to 2009
Burdekin,Burdekin,Belyando,Water,2021,35439,523.3,1.5,23.3,4.7,2021 to 2016
Burdekin,Burdekin,Broke Bogie,Water,1999,12006.2,187.7,1.6,0,0,1999 to 1999
Burdekin,Burdekin,Broke Bogie,Water,2009,12202.7,191.5,1.6,3.8,2,2009 to 1999
Burdekin,Burdekin,Broke Bogie,Water,2016,12233.3,192.4,1.6,0.9,0.4,2016 to 2009
Burdekin,Burdekin,Broke Bogie,Water,2021,11728.8,192.4,1.6,0.1,0,2021 to 2016
Burdekin,Burdekin,Cape Campaspe,Water,1999,20636,440.3,2.1,0,0,1999 to 1999
Burdekin,Burdekin,Cape Campaspe,Water,2009,20639.9,441.7,2.1,1.4,0.3,2009 to 1999
Burdekin,Burdekin,Cape Campaspe,Water,2016,20594,442,2.1,0.4,0.1,2016 to 2009
Burdekin,Burdekin,Cape Campaspe,Water,2021,20457.9,437.9,2.1,-4.1,-0.9,2021 to 2016
Burdekin,Burdekin,Lower Burdekin,Water,1999,3797.4,176.4,4.6,0,0,1999 to 1999
Burdekin,Burdekin,Lower Burdekin,Water,2009,3804.7,176.7,4.6,0.2,0.1,2009 to 1999
Burdekin,Burdekin,Lower Burdekin,Water,2016,3805.7,176.7,4.6,-0,-0,2016 to 2009
Burdekin,Burdekin,Lower Burdekin,Water,2021,3760.1,176.3,4.7,-0.4,-0.2,2021 to 2016
Burdekin,Burdekin,Suttor,Water,1999,19599.8,452.8,2.3,0,0,1999 to 1999
Burdekin,Burdekin,Suttor,Water,2009,19664.5,462.3,2.4,9.5,2.1,2009 to 1999
Burdekin,Burdekin,Suttor,Water,2016,19570.9,463.7,2.4,1.3,0.3,2016 to 2009
Burdekin,Burdekin,Suttor,Water,2021,18220.2,465.3,2.6,1.6,0.3,2021 to 2016
Burdekin,Burdekin,Upper Burdekin,Water,1999,40700.5,846.9,2.1,0,0,1999 to 1999
Burdekin,Burdekin,Upper Burdekin,Water,2009,40700.4,829.8,2,-17,-2,2009 to 1999
Burdekin,Burdekin,Upper Burdekin,Water,2016,40960.1,824.1,2,-5.7,-0.7,2016 to 2009
Burdekin,Burdekin,Upper Burdekin,Water,2021,40508.9,809.9,2,-14.2,-1.7,2021 to 2016
Burdekin,Haughton,Haughton,Water,1999,4159.6,334.6,8,0,0,1999 to 1999
Burdekin,Haughton,Haughton,Water,2009,4159.8,333.3,8,-1.3,-0.4,2009 to 1999
Burdekin,Haughton,Haughton,Water,2016,4157.3,326.5,7.9,-6.8,-2,2016 to 2009
Burdekin,Haughton,Haughton,Water,2021,4068.8,304.7,7.5,-21.8,-6.7,2021 to 2016
Dry Tropics,Black,Black River,Water,1999,305.5,8.4,2.8,0,0,1999 to 1999
Dry Tropics,Black,Black River,Water,2009,305,8.5,2.8,0.1,0.8,2009 to 1999
Dry Tropics,Black,Black River,Water,2016,305.1,8.5,2.8,0,0.1,2016 to 2009
Dry Tropics,Black,Black River,Water,2021,301.7,8.6,2.8,0,0.5,2021 to 2016
Dry Tropics,Black,Bluewater Creek,Water,1999,296.6,8.5,2.9,0,0,1999 to 1999
Dry Tropics,Black,Bluewater Creek,Water,2009,296.4,8.5,2.9,0.1,0.9,2009 to 1999
Dry Tropics,Black,Bluewater Creek,Water,2016,296.9,8.5,2.9,-0,-0.1,2016 to 2009
Dry Tropics,Black,Bluewater Creek,Water,2021,291.7,7.6,2.6,-1,-11.3,2021 to 2016
Dry Tropics,Black,Crystal Creek,Water,1999,239.9,6.2,2.6,0,0,1999 to 1999
Dry Tropics,Black,Crystal Creek,Water,2009,239.9,6.2,2.6,0,0.2,2009 to 1999
Dry Tropics,Black,Crystal Creek,Water,2016,239.7,6.2,2.6,0,0.5,2016 to 2009
Dry Tropics,Black,Crystal Creek,Water,2021,239.1,6.2,2.6,-0,-0.8,2021 to 2016
Dry Tropics,Black,Palm Islands,Water,1999,86.4,0.6,0.7,0,0,1999 to 1999
Dry Tropics,Black,Palm Islands,Water,2009,86.4,0.7,0.8,0.1,14.8,2009 to 1999
Dry Tropics,Black,Palm Islands,Water,2016,86.4,0.7,0.8,0,0,2016 to 2009
Dry Tropics,Black,Palm Islands,Water,2021,86.4,0.7,0.8,0,0,2021 to 2016
Dry Tropics,Black,Paluma Lake,Water,1999,5.1,2.1,40.8,0,0,1999 to 1999
Dry Tropics,Black,Paluma Lake,Water,2009,5.1,2.1,40.8,0,0,2009 to 1999
Dry Tropics,Black,Paluma Lake,Water,2016,5.1,2.1,40.8,0,0,2016 to 2009
Dry Tropics,Black,Paluma Lake,Water,2021,5.1,2.1,40.8,-0,-0,2021 to 2016
Dry Tropics,Black,Rollingstone Creek,Water,1999,224.2,6.3,2.8,0,0,1999 to 1999
Dry Tropics,Black,Rollingstone Creek,Water,2009,224.2,4.6,2.1,-1.7,-26.9,2009 to 1999
Dry Tropics,Black,Rollingstone Creek,Water,2016,224.3,4.6,2.1,0,0,2016 to 2009
Dry Tropics,Black,Rollingstone Creek,Water,2021,222,4.3,2,-0.3,-6.1,2021 to 2016
Dry Tropics,Ross,Alligator Creek,Water,1999,368.4,28.2,7.6,0,0,1999 to 1999
Dry Tropics,Ross,Alligator Creek,Water,2009,369.3,28.2,7.6,0.1,0.2,2009 to 1999
Dry Tropics,Ross,Alligator Creek,Water,2016,369.6,27.9,7.6,-0.3,-1,2016 to 2009
Dry Tropics,Ross,Alligator Creek,Water,2021,360.4,27.9,7.7,-0,-0,2021 to 2016
Dry Tropics,Ross,Bohle River,Water,1999,332.3,19.7,5.9,0,0,1999 to 1999
Dry Tropics,Ross,Bohle River,Water,2009,333,20.4,6.1,0.6,3.1,2009 to 1999
Dry Tropics,Ross,Bohle River,Water,2016,331.3,20.4,6.2,0.1,0.3,2016 to 2009
Dry Tropics,Ross,Bohle River,Water,2021,328.8,20.2,6.1,-0.3,-1.3,2021 to 2016
Dry Tropics,Ross,Magnetic Island,Water,1999,50.8,2.6,5.2,0,0,1999 to 1999
Dry Tropics,Ross,Magnetic Island,Water,2009,50.8,2.6,5.1,-0.1,-2.2,2009 to 1999
Dry Tropics,Ross,Magnetic Island,Water,2016,50.8,2.5,5,-0,-1.1,2016 to 2009
Dry Tropics,Ross,Magnetic Island,Water,2021,50.8,2.5,5,0,0,2021 to 2016
Dry Tropics,Ross,Ross River (Lower),Water,1999,134.4,11.5,8.5,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Lower),Water,2009,134,10.6,7.9,-0.8,-7.4,2009 to 1999
Dry Tropics,Ross,Ross River (Lower),Water,2016,134,10.5,7.8,-0.2,-1.5,2016 to 2009
Dry Tropics,Ross,Ross River (Lower),Water,2021,134,10.5,7.8,0,0.1,2021 to 2016
Dry Tropics,Ross,Ross River (Upper),Water,1999,765.7,59.9,7.8,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Upper),Water,2009,768,60,7.8,0.1,0.1,2009 to 1999
Dry Tropics,Ross,Ross River (Upper),Water,2016,768.7,60,7.8,0,0,2016 to 2009
Dry Tropics,Ross,Ross River (Upper),Water,2021,761.3,60,7.9,-0,-0,2021 to 2016
Dry Tropics,Ross,Stuart Creek,Water,1999,124.9,18.3,14.7,0,0,1999 to 1999
Dry Tropics,Ross,Stuart Creek,Water,2009,125,17.8,14.3,-0.5,-2.6,2009 to 1999
Dry Tropics,Ross,Stuart Creek,Water,2016,122.7,16.7,13.6,-1.2,-6.4,2016 to 2009
Dry Tropics,Ross,Stuart Creek,Water,2021,120.9,16.5,13.6,-0.2,-1.3,2021 to 2016
Mackay Whitsunday Isaac,Don,Don,Water,1999,3922.2,299.7,7.6,0,0,1999 to 1999
Mackay Whitsunday Isaac,Don,Don,Water,2009,3874.2,302.1,7.8,2.4,0.8,2009 to 1999
Mackay Whitsunday Isaac,Don,Don,Water,2016,3867.1,304.2,7.9,2.1,0.7,2016 to 2009
Mackay Whitsunday Isaac,Don,Don,Water,2021,3752.8,296.1,7.9,-8,-2.6,2021 to 2016
Mackay Whitsunday Isaac,O'Connell,O'Connell,Water,1999,2445.9,186.1,7.6,0,0,1999 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Water,2009,2445.9,187.3,7.7,1.3,0.7,2009 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Water,2016,2445.9,187.7,7.7,0.4,0.2,2016 to 2009
Mackay Whitsunday Isaac,O'Connell,O'Connell,Water,2021,2446,186.9,7.6,-0.8,-0.4,2021 to 2016
Mackay Whitsunday Isaac,Pioneer,Pioneer,Water,1999,1571.1,55.1,3.5,0,0,1999 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Water,2009,1571.1,55,3.5,-0.1,-0.2,2009 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Water,2016,1571.1,55.1,3.5,0.1,0.2,2016 to 2009
Mackay Whitsunday Isaac,Pioneer,Pioneer,Water,2021,1574.7,55.2,3.5,0.1,0.1,2021 to 2016
Mackay Whitsunday Isaac,Plane,Plane,Water,1999,2559.5,227.4,8.9,0,0,1999 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Water,2009,2559.5,223.6,8.7,-3.8,-1.7,2009 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Water,2016,2559.5,222.5,8.7,-1.2,-0.5,2016 to 2009
Mackay Whitsunday Isaac,Plane,Plane,Water,2021,2569.8,258.3,10.1,35.9,16.1,2021 to 2016
Mackay Whitsunday Isaac,Proserpine,Proserpine,Water,1999,2772.1,180.6,6.5,0,0,1999 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Water,2009,2772.1,181.8,6.6,1.2,0.7,2009 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Water,2016,2772.1,182.7,6.6,0.9,0.5,2016 to 2009
Mackay Whitsunday Isaac,Proserpine,Proserpine,Water,2021,2771.6,177.6,6.4,-5.2,-2.8,2021 to 2016
Wet Tropics,Barron,Barron,Water,1999,2381.9,77.2,3.2,0,0,1999 to 1999
Wet Tropics,Barron,Barron,Water,2009,2368.8,77.7,3.3,0.5,0.7,2009 to 1999
Wet Tropics,Barron,Barron,Water,2015,2385.5,78,3.3,0.3,0.4,2015 to 2009
Wet Tropics,Barron,Barron,Water,2021,2193.2,79.1,3.6,1,1.3,2021 to 2015
Wet Tropics,Daintree,Daintree,Water,1999,2123.2,59,2.8,0,0,1999 to 1999
Wet Tropics,Daintree,Daintree,Water,2009,2120.5,56.1,2.6,-2.9,-4.9,2009 to 1999
Wet Tropics,Daintree,Daintree,Water,2015,2115.6,53.5,2.5,-2.6,-4.7,2015 to 2009
Wet Tropics,Daintree,Daintree,Water,2021,2104.6,53.5,2.5,0,0,2021 to 2015
Wet Tropics,Herbert,Herbert,Water,1999,10003.4,431.9,4.3,0,0,1999 to 1999
Wet Tropics,Herbert,Herbert,Water,2009,9996.8,428.5,4.3,-3.4,-0.8,2009 to 1999
Wet Tropics,Herbert,Herbert,Water,2015,9952.5,414.4,4.2,-14.1,-3.3,2015 to 2009
Wet Tropics,Herbert,Herbert,Water,2021,9873.2,423.6,4.3,9.2,2.2,2021 to 2015
Wet Tropics,Johnstone,Johnstone,Water,1999,2460.7,51.7,2.1,0,0,1999 to 1999
Wet Tropics,Johnstone,Johnstone,Water,2009,2457.4,51.6,2.1,-0,-0.1,2009 to 1999
Wet Tropics,Johnstone,Johnstone,Water,2015,2456.4,51.6,2.1,0,0,2015 to 2009
Wet Tropics,Johnstone,Johnstone,Water,2021,2317.8,56.4,2.4,4.7,9.2,2021 to 2015
Wet Tropics,Mossman,Mossman,Water,1999,513.5,20.6,4,0,0,1999 to 1999
Wet Tropics,Mossman,Mossman,Water,2009,498,20.7,4.2,0.1,0.6,2009 to 1999
Wet Tropics,Mossman,Mossman,Water,2015,496,20.7,4.2,0,0.1,2015 to 2009
Wet Tropics,Mossman,Mossman,Water,2021,465.4,20.7,4.5,0,0,2021 to 2015
Wet Tropics,Mulgrave,Mulgrave,Water,1999,1333.4,91.3,6.9,0,0,1999 to 1999
Wet Tropics,Mulgrave,Mulgrave,Water,2009,1333.7,89,6.7,-2.4,-2.6,2009 to 1999
Wet Tropics,Mulgrave,Mulgrave,Water,2015,1333.4,89,6.7,0,0,2015 to 2009
Wet Tropics,Mulgrave,Mulgrave,Water,2021,1319.7,90.9,6.9,1.9,2.2,2021 to 2015
Wet Tropics,Murray,Murray,Water,1999,1539.4,67,4.3,0,0,1999 to 1999
Wet Tropics,Murray,Murray,Water,2009,1537.4,53.1,3.5,-13.8,-20.7,2009 to 1999
Wet Tropics,Murray,Murray,Water,2015,1538,52.6,3.4,-0.5,-1,2015 to 2009
Wet Tropics,Murray,Murray,Water,2021,1524.4,52.6,3.4,0,0,2021 to 2015
Wet Tropics,Russell,Russell,Water,1999,718.7,19.5,2.7,0,0,1999 to 1999
Wet Tropics,Russell,Russell,Water,2009,695.9,19.4,2.8,-0,-0.1,2009 to 1999
Wet Tropics,Russell,Russell,Water,2015,696.3,19.4,2.8,0,0,2015 to 2009
Wet Tropics,Russell,Russell,Water,2021,670.6,19.2,2.9,-0.3,-1.4,2021 to 2015
Wet Tropics,Tully,Tully,Water,1999,1718.8,43.7,2.5,0,0,1999 to 1999
Wet Tropics,Tully,Tully,Water,2009,1712.6,43.7,2.6,0,0,2009 to 1999
Wet Tropics,Tully,Tully,Water,2015,1713.5,43.9,2.6,0.2,0.4,2015 to 2009
Wet Tropics,Tully,Tully,Water,2021,1684.7,43.9,2.6,0,0.1,2021 to 2015
