Region,Basin,SubBasin,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
Dry Tropics,Black,Black River,Conservation,2009,305,36.3,11.9,-1.6,-4.2,2009 to 1999
Dry Tropics,Black,Black River,Conservation,2016,305.1,38.5,12.6,2.2,6.2,2016 to 2009
Dry Tropics,Black,Black River,Conservation,2021,301.7,50.5,16.7,12,31.1,2021 to 2016
Dry Tropics,Black,Bluewater Creek,Conservation,1999,296.6,30.6,10.3,0,0,1999 to 1999
Dry Tropics,Black,Bluewater Creek,Conservation,2009,296.4,49.2,16.6,18.6,60.8,2009 to 1999
Dry Tropics,Black,Bluewater Creek,Conservation,2016,296.9,81.4,27.4,32.2,65.5,2016 to 2009
Dry Tropics,Black,Bluewater Creek,Conservation,2021,291.7,81.3,27.9,-0.1,-0.1,2021 to 2016
Dry Tropics,Black,Crystal Creek,Conservation,1999,239.9,136.9,57.1,0,0,1999 to 1999
Dry Tropics,Black,Crystal Creek,Conservation,2009,239.9,185,77.1,48.1,35.1,2009 to 1999
Dry Tropics,Black,Crystal Creek,Conservation,2016,239.7,184.8,77.1,-0.2,-0.1,2016 to 2009
Dry Tropics,Black,Crystal Creek,Conservation,2021,239.1,160.1,66.9,-24.8,-13.4,2021 to 2016
Dry Tropics,Black,Palm Islands,Conservation,1999,86.4,84.4,97.7,0,0,1999 to 1999
Dry Tropics,Black,Palm Islands,Conservation,2009,86.4,84.4,97.7,0,0,2009 to 1999
Dry Tropics,Black,Palm Islands,Conservation,2016,86.4,84.3,97.6,-0.1,-0.1,2016 to 2009
Dry Tropics,Black,Palm Islands,Conservation,2021,86.4,84.3,97.6,0,0,2021 to 2016
Dry Tropics,Black,Paluma Lake,Conservation,1999,5.1,2.7,52.4,0,0,1999 to 1999
Dry Tropics,Black,Paluma Lake,Conservation,2009,5.1,2.7,53.2,0,1.4,2009 to 1999
Dry Tropics,Black,Paluma Lake,Conservation,2016,5.1,2.7,53.2,0,0,2016 to 2009
Dry Tropics,Black,Paluma Lake,Conservation,2021,5.1,2.7,53.2,0,0,2021 to 2016
Dry Tropics,Black,Rollingstone Creek,Conservation,1999,224.2,46.1,20.6,0,0,1999 to 1999
Dry Tropics,Black,Rollingstone Creek,Conservation,2009,224.2,124.5,55.5,78.4,170.1,2009 to 1999
Dry Tropics,Black,Rollingstone Creek,Conservation,2016,224.3,124.4,55.5,-0.1,-0.1,2016 to 2009
Dry Tropics,Black,Rollingstone Creek,Conservation,2021,222,113.7,51.2,-10.7,-8.6,2021 to 2016
Dry Tropics,Ross,Alligator Creek,Conservation,1999,368.4,232.2,63,0,0,1999 to 1999
Dry Tropics,Ross,Alligator Creek,Conservation,2009,369.3,232,62.8,-0.2,-0.1,2009 to 1999
Dry Tropics,Ross,Alligator Creek,Conservation,2016,369.6,234.2,63.4,2.2,1,2016 to 2009
Dry Tropics,Ross,Alligator Creek,Conservation,2021,360.4,233.9,64.9,-0.3,-0.1,2021 to 2016
Dry Tropics,Ross,Bohle River,Conservation,1999,332.3,50,15,0,0,1999 to 1999
