Region,Basin,LayerName,MonthlyMeanRainfall,LayerDate,Year,Month,Fyear,AnnualMeanRainfall,AnnualLtm,monthly_ltm,MonthlyMeanRainfallPercentileRank,AnnualMeanRainfallPercentileRank,annual_anomaly,monthly_anomaly,annual_percentage_of_ltm,monthly_percentage_of_ltm
Burdekin,Burdekin,n3_rainfall_1146,30,2006-06-30,2006,Jun,2006,606,628,23,76,50,-22,7,96.5,130.4
Burdekin,Burdekin,n3_rainfall_1147,29,2006-07-31,2006,Jul,2007,717,628,18,79,70,89,11,114.2,161.1
Burdekin,Burdekin,n3_rainfall_1148,2,2006-08-31,2006,Aug,2007,717,628,14,34,70,89,-12,114.2,14.3
Burdekin,Burdekin,n3_rainfall_1149,27,2006-09-30,2006,Sep,2007,717,628,12,86,70,89,15,114.2,225
Burdekin,Burdekin,n3_rainfall_1150,3,2006-10-31,2006,Oct,2007,717,628,24,3,70,89,-21,114.2,12.5
Burdekin,Burdekin,n3_rainfall_1151,15,2006-11-30,2006,Nov,2007,717,628,52,21,70,89,-37,114.2,28.8
Burdekin,Burdekin,n3_rainfall_1152,51,2006-12-31,2006,Dec,2007,717,628,83,34,70,89,-32,114.2,61.4
Burdekin,Burdekin,n3_rainfall_1153,149,2007-01-31,2007,Jan,2007,717,628,138,62,70,89,11,114.2,108
Burdekin,Burdekin,n3_rainfall_1154,206,2007-02-28,2007,Feb,2007,717,628,142,83,70,89,64,114.2,145.1
Burdekin,Burdekin,n3_rainfall_1155,33,2007-03-31,2007,Mar,2007,717,628,70,38,70,89,-37,114.2,47.1
Burdekin,Burdekin,n3_rainfall_1156,3,2007-04-30,2007,Apr,2007,717,628,29,3,70,89,-26,114.2,10.3
Burdekin,Burdekin,n3_rainfall_1157,6,2007-05-31,2007,May,2007,717,628,22,24,70,89,-16,114.2,27.3
Burdekin,Burdekin,n3_rainfall_1158,193,2007-06-30,2007,Jun,2007,717,628,23,100,70,89,170,114.2,839.1
Burdekin,Burdekin,n3_rainfall_1159,1,2007-07-31,2007,Jul,2008,856,628,18,7,80,228,-17,136.3,5.6
